"Year","Gross","Net","Conventional.Accounting","Economic.Sector","Sector","Category","Sub.Category.1","Sub.Category.2","Sub.Category.3","Gas","MT.CO2e.AR5.20.yr","MT.CO2e.AR4.100.yr","Average_Fahrenheit_Temperature"
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","Natural Gas","CO2",10641273,10641273,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","Natural Gas","CH4",88936,29645,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","Natural Gas","N2O",5590,5611,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","Residual Fuel","CO2",8214685,8214685,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","Residual Fuel","CH4",96949,32316,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","Residual Fuel","N2O",18282,18351,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","Wood","CH4",110524,36841,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","Wood","N2O",4631,4649,53.4
1990,"Yes","No","No","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","Wood","Biogenic CO2",428767,428767,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Asphalt and Road Oil","CO2",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Asphalt and Road Oil","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Asphalt and Road Oil","N2O",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Coal - Coking","CO2",3398324,3398324,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Coal - Coking","CH4",32173,10724,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Coal - Coking","N2O",15167,15225,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Coal - Other","CO2",4361966,4361966,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Coal - Other","CH4",40849,13616,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Coal - Other","N2O",19257,19330,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Distillate Fuel","CO2",1275724,1275724,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Distillate Fuel","CH4",4586,1529,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Distillate Fuel","N2O",2883,2894,53.4
